Sequence,Ciphertext_Entropy,IV_Length,IV_Entropy,Exec_Time,Secure
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.793,16,7.53,1.178,0
Cipher.getInstance -> Cipher.doFinal,6.631,16,4.388,0.111,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.87,12,7.993,1.855,1
Cipher.getInstance -> Cipher.doFinal,5.193,16,6.609,0.122,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.93,0,0.0,0.761,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.485,16,3.027,1.43,0
Cipher.getInstance -> Cipher.doFinal,6.895,0,5.173,0.184,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.533,0,0.0,1.434,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.897,16,7.863,1.034,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.935,12,7.879,1.099,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.508,16,7.933,1.521,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.603,16,1.084,0.693,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.856,12,7.818,0.603,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.766,0,0.0,0.491,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.946,12,7.837,2.139,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.915,12,7.874,1.988,1
Cipher.getInstance -> Cipher.doFinal,7.816,0,0.02,0.224,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.545,16,7.585,1.537,0
Cipher.getInstance -> Cipher.doFinal,6.337,0,4.53,0.207,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.644,0,0.0,1.462,0
Cipher.getInstance -> Cipher.doFinal,6.775,16,4.795,0.319,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.669,16,7.695,1.272,0
Cipher.getInstance -> Cipher.doFinal,5.564,0,1.258,0.382,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.876,16,7.899,2.125,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.883,16,7.981,1.907,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.928,16,7.813,1.182,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.931,12,7.835,1.338,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.924,16,7.85,0.548,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.507,16,1.049,1.241,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.951,16,7.908,1.666,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.985,16,7.887,1.191,1
Cipher.getInstance -> Cipher.doFinal,5.262,0,7.692,0.102,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.851,16,7.989,1.95,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.811,0,0.0,1.042,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.919,16,7.93,0.819,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.172,16,1.185,1.236,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.999,12,7.945,1.545,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.485,0,0.0,0.555,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.967,16,7.983,2.198,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.702,0,0.0,1.132,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.132,16,1.805,0.739,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.952,12,7.897,1.673,1
Cipher.getInstance -> Cipher.doFinal,7.067,16,2.925,0.342,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.639,16,7.968,0.712,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.856,12,7.875,1.302,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.911,12,7.806,1.221,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.897,16,7.865,1.976,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.518,16,7.662,0.845,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.931,0,0.0,0.886,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.572,16,7.644,0.848,0
Cipher.getInstance -> Cipher.doFinal,7.195,0,4.948,0.32,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.975,12,7.925,0.547,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.989,12,7.831,1.094,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.737,0,0.0,0.688,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.923,16,7.929,1.894,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.993,16,7.997,1.527,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.854,16,7.804,0.819,1
Cipher.getInstance -> Cipher.doFinal,5.446,16,2.18,0.156,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.943,12,7.857,1.857,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.901,12,7.835,1.82,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.96,12,7.966,0.635,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.981,12,7.965,2.266,1
Cipher.getInstance -> Cipher.doFinal,7.35,0,3.587,0.404,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.656,16,1.411,0.732,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.957,16,7.944,2.203,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.829,0,0.0,0.377,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.831,0,0.0,1.213,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.889,12,7.971,2.182,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.901,12,7.91,0.878,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.994,12,7.913,2.442,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.807,16,7.901,0.804,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.95,16,7.932,0.746,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.284,0,0.0,1.409,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.116,16,3.804,1.65,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.448,16,1.375,1.857,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.993,16,7.985,0.936,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.948,16,7.868,1.271,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.885,12,7.839,2.023,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.977,16,7.912,1.165,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.662,16,7.674,1.924,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.998,12,7.93,0.914,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.852,16,7.923,1.725,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.94,16,7.838,2.13,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.54,16,7.776,1.168,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.578,16,7.527,1.869,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.924,12,7.973,1.996,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.815,16,7.509,1.956,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.902,12,7.911,2.276,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.958,12,7.805,1.27,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.187,16,3.594,1.086,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.727,16,1.273,0.992,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.402,0,0.0,0.639,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.718,16,7.918,1.656,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.899,16,7.799,1.918,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.965,12,7.819,1.205,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.907,16,7.893,0.863,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.995,12,7.824,1.516,1
Cipher.getInstance -> Cipher.doFinal,5.745,0,1.039,0.249,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.695,16,7.754,1.843,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.802,0,0.0,1.253,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.889,12,7.99,2.157,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.968,12,7.811,0.706,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.981,16,7.855,0.605,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.561,16,7.711,1.286,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.978,16,7.873,1.797,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.661,16,2.499,0.46,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.701,16,3.079,0.983,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.986,12,7.908,2.468,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.609,16,7.843,1.066,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.409,0,0.0,1.201,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.928,16,7.858,0.6,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.867,16,7.966,0.626,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.984,0,0.0,1.184,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.997,16,7.875,1.382,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.886,16,7.975,2.469,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.916,16,7.958,1.56,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.923,12,7.98,1.344,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.679,16,7.523,1.769,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.517,0,0.0,1.398,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.958,12,7.919,2.214,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.515,0,0.0,1.179,0
Cipher.getInstance -> Cipher.doFinal,7.379,16,1.874,0.231,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.841,16,7.69,0.635,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.863,12,7.975,1.348,1
Cipher.getInstance -> Cipher.doFinal,6.118,16,5.014,0.47,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.962,12,7.915,1.156,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.982,12,7.809,1.406,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.941,0,0.0,1.198,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.927,12,7.969,1.195,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.523,16,3.558,0.641,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.434,16,3.134,1.558,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.91,12,7.963,1.846,1
Cipher.getInstance -> Cipher.doFinal,6.918,0,1.013,0.467,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.92,12,7.936,0.678,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.145,16,2.533,1.121,0
Cipher.getInstance -> Cipher.doFinal,7.413,16,3.659,0.368,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.995,16,7.83,2.241,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.675,16,7.867,1.71,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.771,16,2.499,1.52,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.316,16,3.965,0.785,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.973,16,7.817,1.369,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.799,16,1.622,1.026,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.769,16,1.291,1.929,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.563,16,7.531,1.712,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.949,16,7.877,2.112,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.999,16,7.944,1.246,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.725,16,2.409,0.68,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.923,16,7.919,0.941,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.925,12,7.984,1.193,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.965,16,7.985,1.615,1
Cipher.getInstance -> Cipher.doFinal,5.272,0,0.973,0.45,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.899,16,7.869,2.171,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.077,16,2.931,1.696,0
Cipher.getInstance -> Cipher.doFinal,7.696,16,6.085,0.488,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.051,16,3.953,1.564,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.765,16,7.517,1.837,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.862,16,7.752,1.728,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.944,16,7.965,0.725,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.914,16,7.863,0.74,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.861,12,7.856,1.821,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.256,16,1.382,1.397,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.967,12,7.888,0.65,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.924,0,0.0,1.468,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.961,12,7.902,2.156,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.863,12,7.812,2.115,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.885,16,7.514,1.596,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.933,16,7.987,1.463,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.961,16,7.857,1.7,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.942,16,7.974,0.959,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.88,16,7.991,1.011,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.993,12,7.875,1.753,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.971,12,7.94,1.816,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.27,0,0.0,0.735,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.707,16,2.727,0.903,0
Cipher.getInstance -> Cipher.doFinal,6.326,0,1.462,0.307,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.517,16,7.518,1.128,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.519,16,3.329,0.761,0
Cipher.getInstance -> Cipher.doFinal,5.967,16,6.547,0.15,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.842,16,7.735,0.857,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.962,12,7.968,2.145,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.615,0,0.0,0.626,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.698,16,7.644,1.826,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.951,12,7.987,2.417,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.86,0,0.0,0.382,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.64,16,7.739,1.385,0
Cipher.getInstance -> Cipher.doFinal,7.658,0,2.106,0.397,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.939,16,7.879,1.373,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.927,12,7.867,1.608,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.891,16,7.84,2.06,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.945,16,7.909,1.022,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.927,16,7.845,0.976,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.871,16,7.898,1.421,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.858,12,7.88,1.021,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.911,16,7.836,2.418,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.853,16,7.885,1.341,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.894,12,7.953,2.493,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.446,16,2.08,1.247,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.38,16,3.299,0.694,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.224,16,4.318,0.524,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.767,16,2.08,0.547,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.869,12,7.864,2.237,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.951,16,7.819,1.41,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.924,12,7.964,2.469,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.965,12,7.832,0.935,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.38,16,2.678,1.772,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.885,16,7.968,2.468,1
Cipher.getInstance -> Cipher.doFinal,5.379,0,3.676,0.486,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.923,16,7.964,1.836,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.8,0,0.0,0.716,0
Cipher.getInstance -> Cipher.doFinal,6.277,0,6.9,0.21,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.021,16,1.37,0.463,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.681,0,0.0,1.413,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.926,16,7.803,1.538,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.561,16,7.678,0.764,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.537,0,0.0,0.679,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.703,16,7.869,0.819,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.938,12,7.906,2.003,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.934,16,7.961,1.803,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.972,16,7.978,0.641,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.901,12,7.809,2.124,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.973,12,7.869,0.821,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.899,12,7.935,1.847,1
Cipher.getInstance -> Cipher.doFinal,5.374,16,0.72,0.11,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.851,12,7.801,1.577,1
Cipher.getInstance -> Cipher.doFinal,7.069,0,0.126,0.214,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.531,16,7.939,1.651,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.869,16,7.946,1.847,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.006,0,0.0,0.46,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.923,16,7.914,1.899,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.615,0,0.0,0.912,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.721,16,3.042,1.252,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.935,16,7.809,0.731,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.473,0,0.0,1.372,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.94,16,7.889,2.061,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.893,16,7.807,0.54,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.837,16,7.942,1.326,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.882,12,7.823,2.346,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.677,16,7.583,0.679,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.59,16,7.851,1.116,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.868,12,7.816,1.064,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.449,0,0.0,1.447,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.969,16,7.955,0.781,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.916,16,7.875,2.326,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.19,16,1.173,0.506,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.207,16,1.957,1.194,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.928,16,7.845,1.732,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.205,0,0.0,0.478,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.905,12,7.822,2.077,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.407,16,3.601,0.737,0
Cipher.getInstance -> Cipher.doFinal,5.314,16,7.33,0.103,0
Cipher.getInstance -> Cipher.doFinal,6.862,16,1.682,0.208,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.569,0,0.0,1.144,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.732,0,0.0,0.912,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.864,16,7.963,0.865,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.949,16,7.863,2.403,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.523,16,7.859,0.594,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.947,16,7.924,1.273,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.904,12,7.974,1.938,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.93,16,7.95,1.483,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.859,16,7.9,1.889,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.932,16,7.976,2.471,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.68,16,7.843,1.268,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.006,0,0.0,1.019,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.846,0,0.0,1.217,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.921,12,7.91,2.455,1
Cipher.getInstance -> Cipher.doFinal,5.14,16,4.045,0.381,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.537,16,2.309,1.42,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.265,0,0.0,1.367,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.879,16,7.811,2.258,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.91,0,0.0,0.692,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.178,16,4.229,1.327,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.034,0,0.0,0.823,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.545,16,7.795,0.946,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.623,16,7.647,1.753,0
Cipher.getInstance -> Cipher.doFinal,7.231,0,7.839,0.136,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.881,12,7.889,0.54,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.511,0,0.0,0.525,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.973,16,7.892,0.926,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.955,16,7.997,2.466,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.987,0,0.0,1.145,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.968,12,7.874,1.476,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.722,16,7.793,1.692,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.924,12,7.95,1.408,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.962,12,7.962,2.249,1
Cipher.getInstance -> Cipher.doFinal,6.725,0,7.056,0.43,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.975,16,7.82,1.47,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.53,16,7.709,1.253,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.869,16,7.969,1.78,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.974,16,7.942,1.477,1
